plot,strategy 
E2 (CAI) MWM_01.06.2020_D0002_day 3.csv,Undefined
E2 (Cai) MWM_2.10.2020 _D0054_day 1.csv,Undefined
E2 (CAI) MWM_1.20.2020 _D0024_day 3.csv,Undefined
E2 (Cai) MWM_2.10.2020 _D0059_day 1.csv,Undefined
E2 (Cai) MWM_2.10.2020 _D0055_day 1.csv,Undefined
E2 (Cai) MWM_2.10.2020 _D0058_day 1.csv,Undefined
E2 (CAI) MWM_01.06.2020_D0002_day 1.csv,Undefined
E2 (CAI) MWM_1.20.2020 _D0022_day 1.csv,Undefined
E2 (CAI) MWM_1.13.2020 _D0031_day 1.csv,Undefined
E2 (CAI) MWM_1.20.2020 _D0025_day 2.csv,Undefined
E2 (CAI) MWM_1.20.2020 _D0023_day 3.csv,Undefined
E2 (Cai) MWM_2.10.2020 _D0058_day 3.csv,Undefined
E2 (Cai) MWM_2.10.2020 _D0059_day 3.csv,Undefined
E2 (CAI) MWM_1.20.2020 _D0025_day 3.csv,Undefined
E2 (CAI) MWM_1.20.2020 _D0022_day 3.csv,Undefined
E2 (CAI) MWM_1.13.2020 _D0031_day 2.csv,Undefined
E2 (CAI) MWM_1.20.2020 _12235_day 1.csv,Undefined
E2 (CAI) MWM_01.06.2020_D0001_day 2.csv,Undefined
E2 (Cai) MWM_2.10.2020 _D0058_day 2.csv,Undefined
E2 (CAI) MWM_1.13.2020 _D0032_day 2.csv,Undefined
E2 (CAI) MWM_01.06.2020_D0001_day 3.csv,Undefined
E2 (CAI) MWM_1.13.2020 _D0032_day 1.csv,Undefined
E2 (CAI) MWM_01.06.2020_D0002_day 2.csv,Undefined
E2 (CAI) MWM_01.06.2020_D0001_day 1.csv,Undefined
E2 (CAI) MWM_1.20.2020 _D0024_day 2.csv,Undefined
E2 (CAI) MWM_1.13.2020 _D0032_day 3.csv,Undefined
E2 (CAI) MWM_1.20.2020 _D0023_day 2.csv,Undefined
E2 (Cai) MWM_2.10.2020 _D0055_day 3.csv,Undefined
E2 (Cai) MWM_2.10.2020 _D0055_day 2.csv,Undefined
E2 (CAI) MWM_1.20.2020 _D0023_day 1.csv,Undefined
E2 (Cai) MWM_2.10.2020 _D0059_day 2.csv,Undefined
E2 (CAI) MWM_1.20.2020 _D0022_day 2.csv,Undefined
E2 (CAI) MWM_1.20.2020 _12235_day 2.csv,Undefined
E2 (CAI) MWM_1.13.2020 _D0030_day 2.csv,Undefined
E2 (CAI) MWM_1.13.2020 _D0030_day 1.csv,Undefined
E2 (CAI) MWM_1.20.2020 _D0025_day 1.csv,Undefined
E2 (Cai) MWM_2.10.2020 _D0054_day 3.csv,Undefined
E2 (CAI) MWM_1.13.2020 _D0030_day 3.csv,Undefined
E2 (CAI) MWM_1.13.2020 _D0031_day 3.csv,Undefined
E2 (CAI) MWM_1.20.2020 _D0024_day 1.csv,Undefined
E2 (Cai) MWM_2.10.2020 _D0054_day 2.csv,Undefined
E2 (CAI) MWM_1.20.2020 _12235_day 3.csv,Undefined
