_ID,0002
Time,Centre position X,Centre position Y,In platform,In nw quad,In ne quad,In sw quad,In se quad,In perimeter
0:00:00.000,,,0,1,0,0,0,0
0:00:00.097,481,184,0,1,0,0,0,0
0:00:00.130,480,184,0,1,0,0,0,0
0:00:00.197,480,184,0,1,0,0,0,0
0:00:00.262,480,185,0,1,0,0,0,0
0:00:00.330,479,185,0,1,0,0,0,0
0:00:00.397,479,185,0,1,0,0,0,0
0:00:00.463,479,185,0,1,0,0,0,0
0:00:00.530,479,185,0,1,0,0,0,0
0:00:00.597,479,185,0,1,0,0,0,0
0:00:00.663,479,185,0,1,0,0,0,0
0:00:00.730,478,185,0,1,0,0,0,0
0:00:00.797,478,186,0,1,0,0,0,0
0:00:00.863,478,186,0,1,0,0,0,0
0:00:00.930,477,186,0,1,0,0,0,0
0:00:00.997,477,186,0,1,0,0,0,0
0:00:01.063,477,186,0,1,0,0,0,0
0:00:01.130,477,186,0,1,0,0,0,0
0:00:01.197,476,187,0,1,0,0,0,0
0:00:01.262,476,187,0,1,0,0,0,0
0:00:01.330,476,187,0,1,0,0,0,0
0:00:01.397,476,187,0,1,0,0,0,0
0:00:01.463,476,187,0,1,0,0,0,0
0:00:01.530,476,187,0,1,0,0,0,0
0:00:01.597,476,187,0,1,0,0,0,0
0:00:01.663,475,187,0,1,0,0,0,0
0:00:01.729,475,187,0,1,0,0,0,0
0:00:01.797,475,188,0,1,0,0,0,0
0:00:01.863,475,188,0,1,0,0,0,0
0:00:01.930,474,188,0,1,0,0,0,0
0:00:01.996,474,188,0,1,0,0,0,0
0:00:02.062,474,188,0,1,0,0,0,0
0:00:02.130,474,189,0,1,0,0,0,0
0:00:02.196,474,189,0,1,0,0,0,0
0:00:02.263,474,189,0,1,0,0,0,0
0:00:02.330,473,189,0,1,0,0,0,0
0:00:02.396,473,189,0,1,0,0,0,0
0:00:02.463,473,189,0,1,0,0,0,0
0:00:02.530,473,189,0,1,0,0,0,0
0:00:02.596,473,189,0,1,0,0,0,0
0:00:02.662,473,189,0,1,0,0,0,0
0:00:02.730,473,188,0,1,0,0,0,0
0:00:02.796,474,187,0,1,0,0,0,0
0:00:02.862,473,186,0,1,0,0,0,0
0:00:02.930,474,186,0,1,0,0,0,0
0:00:02.996,475,185,0,1,0,0,0,0
0:00:03.063,476,185,0,1,0,0,0,0
0:00:03.130,476,185,0,1,0,0,0,0
0:00:03.196,476,184,0,1,0,0,0,0
0:00:03.263,477,184,0,1,0,0,0,0
0:00:03.330,477,184,0,1,0,0,0,0
0:00:03.396,477,184,0,1,0,0,0,0
0:00:03.463,478,183,0,1,0,0,0,0
0:00:03.530,478,183,0,1,0,0,0,0
0:00:03.596,479,183,0,1,0,0,0,0
0:00:03.663,479,183,0,1,0,0,0,0
0:00:03.730,479,182,0,1,0,0,0,0
0:00:03.796,480,182,0,1,0,0,0,0
0:00:03.862,480,182,0,1,0,0,0,0
0:00:03.930,481,181,0,1,0,0,0,0
0:00:03.996,481,181,0,1,0,0,0,0
0:00:04.063,482,181,0,1,0,0,0,0
0:00:04.129,482,181,0,1,0,0,0,0
0:00:04.196,482,181,0,1,0,0,0,0
0:00:04.263,482,181,0,1,0,0,0,0
0:00:04.328,482,181,0,1,0,0,0,0
0:00:04.396,483,180,0,1,0,0,0,0
0:00:04.463,483,180,0,1,0,0,0,0
0:00:04.529,483,180,0,1,0,0,0,0
0:00:04.596,484,180,0,1,0,0,0,0
0:00:04.663,484,180,0,1,0,0,0,0
0:00:04.729,484,180,0,1,0,0,0,0
0:00:04.796,485,179,0,1,0,0,0,0
0:00:04.862,485,179,0,1,0,0,0,0
0:00:04.929,485,179,0,1,0,0,0,0
0:00:04.996,485,179,0,1,0,0,0,0
0:00:05.063,485,179,0,1,0,0,0,0
0:00:05.129,485,179,0,1,0,0,0,0
0:00:05.195,485,179,0,1,0,0,0,0
0:00:05.263,485,178,0,1,0,0,0,0
0:00:05.329,486,179,0,1,0,0,0,0
0:00:05.395,486,178,0,1,0,0,0,0
0:00:05.463,486,178,0,1,0,0,0,0
0:00:05.529,487,178,0,1,0,0,0,0
0:00:05.595,487,178,0,1,0,0,0,0
0:00:05.662,487,178,0,1,0,0,0,0
0:00:05.729,487,178,0,1,0,0,0,0
0:00:05.796,488,178,0,1,0,0,0,0
0:00:05.863,488,178,0,1,0,0,0,0
0:00:05.929,488,178,0,1,0,0,0,0
0:00:05.996,488,178,0,1,0,0,0,0
0:00:06.062,488,178,0,1,0,0,0,0
0:00:06.129,487,178,0,1,0,0,0,0
0:00:06.195,486,178,0,1,0,0,0,0
0:00:06.262,485,179,0,1,0,0,0,0
0:00:06.329,484,180,0,1,0,0,0,0
0:00:06.396,482,180,0,1,0,0,0,0
0:00:06.461,481,181,0,1,0,0,0,0
0:00:06.529,480,181,0,1,0,0,0,0
0:00:06.596,479,181,0,1,0,0,0,0
0:00:06.662,478,181,0,1,0,0,0,0
0:00:06.729,478,181,0,1,0,0,0,0
