_ID,12235
Time,Centre position X,Centre position Y,In platform,In nw quad,In ne quad,In sw quad,In se quad,In perimeter
00:00.0,,,0,0,1,0,0,0
00:00.1,1333.8,587.3,0,0,1,0,0,0
00:00.1,1333.8,584.6,0,0,1,0,0,0
00:00.2,1331.1,584.6,0,0,1,0,0,0
00:00.3,1328.3,584.6,0,0,1,0,0,0
00:00.3,1328.3,584.6,0,0,1,0,0,0
00:00.4,1328.3,584.6,0,0,1,0,0,0
00:00.5,1328.3,584.6,0,0,1,0,0,0
00:00.5,1328.3,584.6,0,0,1,0,0,0
00:00.6,1328.3,584.6,0,0,1,0,0,0
00:00.7,1328.3,584.6,0,0,1,0,0,0
00:00.7,1328.3,584.6,0,0,1,0,0,0
00:00.8,1328.3,581.8,0,0,1,0,0,0
00:00.9,1328.3,581.8,0,0,1,0,0,0
00:00.9,1325.6,581.8,0,0,1,0,0,0
00:01.0,1325.6,581.8,0,0,1,0,0,0
00:01.1,1328.3,581.8,0,0,1,0,0,0
00:01.1,1328.3,581.8,0,0,1,0,0,0
00:01.2,1325.6,581.8,0,0,1,0,0,0
00:01.3,1325.6,581.8,0,0,1,0,0,0
00:01.3,1328.3,581.8,0,0,1,0,0,0
00:01.4,1325.6,581.8,0,0,1,0,0,0
00:01.5,1325.6,581.8,0,0,1,0,0,0
00:01.5,1328.3,581.8,0,0,1,0,0,0
00:01.6,1328.3,581.8,0,0,1,0,0,0
00:01.7,1328.3,581.8,0,0,1,0,0,0
00:01.7,1331.1,584.6,0,0,1,0,0,0
00:01.8,1333.8,587.3,0,0,1,0,0,0
00:01.9,1336.6,590.1,0,0,1,0,0,0
00:01.9,1339.3,592.8,0,0,1,0,0,0
00:02.0,1342.1,595.6,0,0,1,0,0,0
00:02.1,1344.8,601,0,0,1,0,0,0
00:02.1,1350.3,606.5,0,0,1,0,0,0
00:02.2,1353,609.3,0,0,1,0,0,0
00:02.3,1353,612,0,0,1,0,0,0
00:02.3,1353,612,0,0,1,0,0,0
00:02.4,1350.3,609.3,0,0,1,0,0,0
00:02.5,1350.3,612,0,0,1,0,0,0
00:02.5,1347.5,614.8,0,0,1,0,0,0
00:02.6,1347.5,614.8,0,0,1,0,0,0
00:02.7,1347.5,617.5,0,0,1,0,0,0
00:02.7,1347.5,617.5,0,0,1,0,0,0
00:02.8,1347.5,617.5,0,0,1,0,0,0
00:02.9,1347.5,617.5,0,0,1,0,0,0
00:02.9,1347.5,620.3,0,0,1,0,0,0
00:03.0,1342.1,617.5,0,0,1,0,0,0
00:03.1,1339.3,617.5,0,0,1,0,0,0
00:03.1,1339.3,617.5,0,0,1,0,0,0
00:03.2,1336.6,617.5,0,0,1,0,0,0
00:03.3,1336.6,617.5,0,0,1,0,0,0
00:03.3,1333.8,617.5,0,0,1,0,0,0
00:03.4,1333.8,617.5,0,0,1,0,0,0
00:03.5,1331.1,617.5,0,0,1,0,0,0
00:03.5,1331.1,617.5,0,0,1,0,0,0
00:03.6,1331.1,617.5,0,0,1,0,0,0
00:03.7,1328.3,617.5,0,0,1,0,0,0
00:03.7,1328.3,617.5,0,0,1,0,0,0
00:03.8,1325.6,617.5,0,0,1,0,0,0
00:03.9,1325.6,617.5,0,0,1,0,0,0
00:03.9,1325.6,617.5,0,0,1,0,0,0
00:04.0,1322.8,617.5,0,0,1,0,0,0
00:04.1,1322.8,617.5,0,0,1,0,0,0
00:04.1,1322.8,617.5,0,0,1,0,0,0
00:04.2,1320.1,617.5,0,0,1,0,0,0
00:04.3,1320.1,617.5,0,0,1,0,0,0
00:04.3,1317.4,617.5,0,0,1,0,0,0
00:04.4,1317.4,617.5,0,0,1,0,0,0
00:04.5,1317.4,617.5,0,0,1,0,0,0
00:04.5,1314.6,620.3,0,0,1,0,0,0
00:04.6,1314.6,625.7,0,0,1,0,0,0
00:04.7,1314.6,628.5,0,0,1,0,0,0
00:04.7,1314.6,636.7,0,0,1,0,0,0
00:04.8,1314.6,645,0,0,1,0,0,0
00:04.9,1314.6,658.7,0,0,1,0,0,0
00:04.9,1314.6,666.9,0,0,1,0,0,0
00:05.0,1314.6,680.6,0,0,1,0,0,0
00:05.1,1314.6,697.1,0,0,1,0,0,0
00:05.1,1314.6,713.6,0,0,1,0,0,0
00:05.2,1314.6,727.3,0,0,1,0,0,0
00:05.3,1314.6,746.5,0,0,1,0,0,0
00:05.3,1311.9,760.2,0,0,1,0,0,0
00:05.4,1309.1,776.7,0,0,1,0,0,0
00:05.5,1306.4,787.7,0,0,1,0,0,0
00:05.5,1303.6,793.2,0,0,1,0,0,0
00:05.6,1298.1,801.4,0,0,1,0,0,0
00:05.7,1292.6,806.9,0,0,1,0,0,0
00:05.7,1289.9,812.4,0,0,1,0,0,0
00:05.8,1284.4,820.6,0,0,1,0,0,0
00:05.9,1278.9,826.1,0,0,1,0,0,0
00:05.9,1273.4,828.8,0,0,1,0,0,0
00:06.0,1270.7,831.6,0,0,1,0,0,0
00:06.1,1265.2,837.1,0,0,1,0,0,0
00:06.1,1259.7,839.8,0,0,1,0,0,0
00:06.2,1257,845.3,0,0,1,0,0,0
00:06.3,1251.5,848,0,0,1,0,0,0
00:06.3,1246,856.3,0,0,1,0,0,0
00:06.4,1240.5,861.8,0,0,1,0,0,0
00:06.5,1235,867.3,0,0,1,0,0,0
00:06.5,1226.8,872.7,0,0,1,0,0,0
00:06.6,1218.5,878.2,0,0,1,0,0,0
00:06.7,1213.1,881,0,0,1,0,0,0
00:06.7,1207.6,883.7,0,0,1,0,0,0
00:06.8,1202.1,886.5,0,0,1,0,0,0
00:06.9,1202.1,889.2,0,0,1,0,0,0
00:06.9,1196.6,889.2,0,0,1,0,0,0
00:07.0,1193.8,889.2,0,0,1,0,0,0
00:07.1,1188.4,892,0,0,1,0,0,0
00:07.1,1185.6,892,0,0,1,0,0,0
00:07.2,1182.9,892,0,0,1,0,0,0
00:07.3,1177.4,894.7,0,0,1,0,0,0
00:07.3,1174.6,897.4,0,0,1,0,0,0
00:07.4,1171.9,897.4,0,0,1,0,0,0
00:07.5,1166.4,900.2,0,0,1,0,0,0
00:07.5,1163.7,902.9,0,0,1,0,0,0
00:07.6,1158.2,908.4,0,0,1,0,0,0
00:07.7,1155.4,911.2,0,0,1,0,0,0
00:07.7,1152.7,913.9,0,0,1,0,0,0
00:07.8,1147.2,916.7,0,0,1,0,0,0
00:07.9,1144.4,916.7,0,0,1,0,0,0
00:07.9,1141.7,919.4,0,0,1,0,0,0
00:08.0,1136.2,922.1,0,0,1,0,0,0
00:08.1,1133.5,922.1,0,0,1,0,0,0
00:08.1,1128,924.9,0,0,1,0,0,0
00:08.2,1128,924.9,0,0,1,0,0,0
00:08.3,1125.2,924.9,0,0,1,0,0,0
00:08.3,1119.7,924.9,0,0,1,0,0,0
00:08.4,1117,927.6,0,0,1,0,0,0
00:08.5,1114.3,930.4,0,0,1,0,0,0
00:08.5,1114.3,933.1,0,0,1,0,0,0
00:08.6,1108.8,935.9,0,0,1,0,0,0
00:08.7,1103.3,938.6,0,0,1,0,0,0
00:08.7,1097.8,938.6,0,0,1,0,0,0
00:08.8,1089.6,941.4,0,0,1,0,0,0
00:08.9,1086.8,944.1,0,0,1,0,0,0
00:08.9,1081.3,946.8,0,0,1,0,0,0
00:09.0,1073.1,946.8,0,0,1,0,0,0
00:09.1,1070.3,949.6,0,0,1,0,0,0
00:09.1,1067.6,946.8,0,0,1,0,0,0
00:09.2,1062.1,949.6,0,0,1,0,0,0
00:09.3,1059.4,949.6,0,0,1,0,0,0
00:09.3,1053.9,949.6,0,0,1,0,0,0
00:09.4,1051.1,946.8,0,0,1,0,0,0
00:09.5,1045.6,946.8,0,0,1,0,0,0
00:09.5,1042.9,946.8,0,0,1,0,0,0
00:09.6,1037.4,946.8,0,0,1,0,0,0
00:09.7,1034.7,946.8,0,0,1,0,0,0
00:09.7,1031.9,946.8,0,0,1,0,0,0
00:09.8,1029.2,946.8,0,0,1,0,0,0
00:09.9,1026.4,946.8,0,0,1,0,0,0
00:09.9,1026.4,946.8,0,0,1,0,0,0
00:10.0,1026.4,946.8,0,0,1,0,0,0
00:10.1,1020.9,949.6,0,0,1,0,0,0
00:10.1,1018.2,949.6,0,0,1,0,0,0
00:10.2,1012.7,952.3,0,0,1,0,0,0
00:10.3,1010,952.3,0,0,1,0,0,0
00:10.3,1004.5,955.1,0,0,1,0,0,0
00:10.4,1001.7,955.1,0,0,1,0,0,0
00:10.5,999,952.3,0,0,1,0,0,0
00:10.5,996.2,952.3,0,0,1,0,0,0
00:10.6,993.5,952.3,0,0,1,0,0,0
00:10.7,988,952.3,0,0,1,0,0,0
00:10.7,985.3,952.3,0,0,1,0,0,0
00:10.8,985.3,952.3,0,0,1,0,0,0
00:10.9,979.8,952.3,0,0,0,0,1,0
00:10.9,977,955.1,0,0,0,0,1,0
00:11.0,974.3,955.1,0,0,0,0,1,0
00:11.0,966.1,955.1,0,0,0,0,1,0
00:11.1,960.6,955.1,0,0,0,0,1,0
00:11.2,957.8,957.8,0,0,0,0,1,0
00:11.2,955.1,955.1,0,0,0,0,1,0
00:11.3,952.3,952.3,0,0,0,0,1,0
00:11.4,949.6,952.3,0,0,0,0,1,0
00:11.4,949.6,949.6,0,0,0,0,1,0
00:11.5,946.8,946.8,0,0,0,0,1,0
00:11.6,944.1,946.8,0,0,0,0,1,0
00:11.6,941.4,946.8,0,0,0,0,1,0
00:11.7,938.6,944.1,0,0,0,0,1,0
00:11.8,935.9,944.1,0,0,0,0,1,0
00:11.8,930.4,941.4,0,0,0,0,1,0
00:11.9,924.9,941.4,0,0,0,0,1,0
00:12.0,919.4,941.4,0,0,0,0,1,0
00:12.0,913.9,941.4,0,0,0,0,1,0
00:12.1,911.2,941.4,0,0,0,0,1,0
00:12.2,902.9,941.4,0,0,0,0,1,0
00:12.2,900.2,941.4,0,0,0,0,1,0
00:12.3,892,941.4,0,0,0,0,1,0
00:12.4,886.5,941.4,0,0,0,0,1,0
00:12.4,881,938.6,0,0,0,0,1,0
00:12.5,875.5,941.4,0,0,0,0,1,0
00:12.6,872.7,938.6,0,0,0,0,1,0
00:12.6,870,935.9,0,0,0,0,1,0
00:12.7,870,933.1,0,0,0,0,1,0
00:12.8,870,930.4,0,0,0,0,1,0
00:12.8,870,930.4,0,0,0,0,1,0
00:12.9,867.3,927.6,0,0,0,0,1,0
00:13.0,867.3,927.6,0,0,0,0,1,0
00:13.0,864.5,924.9,0,0,0,0,1,0
00:13.1,861.8,924.9,0,0,0,0,1,0
00:13.2,859,924.9,0,0,0,0,1,0
00:13.2,856.3,922.1,0,0,0,0,1,0
00:13.3,856.3,922.1,0,0,0,0,1,0
00:13.4,856.3,922.1,0,0,0,0,1,0
00:13.4,850.8,919.4,0,0,0,0,1,0
00:13.5,848,916.7,0,0,0,0,1,0
00:13.6,845.3,916.7,0,0,0,0,1,0
00:13.6,842.6,913.9,0,0,0,0,1,0
00:13.7,839.8,913.9,0,0,0,0,1,0
00:13.8,837.1,911.2,0,0,0,0,1,0
