_ID,0023
Time,Centre position X,Centre position Y,In platform,In nw quad,In ne quad,In sw quad,In se quad,In perimeter
0:00:00.000,,,0,1,0,0,0,0
0:00:00.096,1325.6,485.8,0,1,0,0,0,0
0:00:00.129,1317.4,480.3,0,1,0,0,0,0
0:00:00.196,1303.6,472.1,0,1,0,0,0,0
0:00:00.263,1287.2,463.8,0,1,0,0,0,0
0:00:00.330,1273.4,455.6,0,1,0,0,0,0
0:00:00.396,1257.0,447.4,0,1,0,0,0,0
0:00:00.463,1240.5,439.1,0,1,0,0,0,0
0:00:00.528,1221.3,430.9,0,1,0,0,0,0
0:00:00.596,1202.1,425.4,0,1,0,0,0,0
0:00:00.663,1182.9,419.9,0,1,0,0,0,0
0:00:00.729,1166.4,417.2,0,1,0,0,0,0
0:00:00.796,1144.4,414.4,0,1,0,0,0,0
0:00:00.863,1125.2,414.4,0,1,0,0,0,0
0:00:00.929,1103.3,417.2,0,1,0,0,0,0
0:00:00.996,1084.1,419.9,0,1,0,0,0,0
0:00:01.063,1064.9,425.4,0,1,0,0,0,0
0:00:01.129,1045.6,433.6,0,1,0,0,0,0
0:00:01.196,1023.7,444.6,0,1,0,0,0,0
0:00:01.263,1007.2,455.6,0,1,0,0,0,0
0:00:01.328,990.8,466.6,0,1,0,0,0,0
0:00:01.396,979.8,480.3,0,0,0,1,0,0
0:00:01.429,974.3,485.8,0,0,0,1,0,0
0:00:01.496,963.3,502.2,0,0,0,1,0,0
0:00:01.562,955.1,521.5,0,0,0,1,0,0
0:00:01.629,949.6,537.9,0,0,0,1,0,0
0:00:01.696,949.6,554.4,0,0,0,1,0,0
0:00:01.763,949.6,573.6,0,0,0,1,0,0
0:00:01.828,955.1,587.3,0,0,0,0,1,0
0:00:01.863,957.8,595.6,0,0,0,0,1,0
0:00:01.928,963.3,614.8,0,0,0,0,1,0
0:00:01.996,971.5,628.5,0,0,0,0,1,0
0:00:02.062,979.8,642.2,0,0,0,0,1,0
0:00:02.129,985.3,655.9,0,0,1,0,0,0
0:00:02.163,990.8,664.2,0,0,1,0,0,0
0:00:02.229,1001.7,675.1,0,0,1,0,0,0
0:00:02.295,1015.5,691.6,0,0,1,0,0,0
0:00:02.363,1026.4,705.3,0,0,1,0,0,0
0:00:02.429,1040.2,721.8,0,0,1,0,0,0
0:00:02.495,1051.1,738.3,0,0,1,0,0,0
0:00:02.563,1067.6,752.0,0,0,1,0,0,0
0:00:02.629,1081.3,763.0,0,0,1,0,0,0
0:00:02.696,1097.8,771.2,0,0,1,0,0,0
0:00:02.762,1114.3,776.7,0,0,1,0,0,0
0:00:02.828,1136.2,784.9,0,0,1,0,0,0
0:00:02.896,1152.7,787.7,0,0,1,0,0,0
0:00:02.962,1171.9,790.4,0,0,1,0,0,0
0:00:03.029,1188.4,790.4,0,0,1,0,0,0
0:00:03.096,1207.6,790.4,0,0,1,0,0,0
0:00:03.162,1229.5,793.2,0,0,1,0,0,0
0:00:03.228,1248.7,793.2,0,0,1,0,0,0
0:00:03.296,1267.9,795.9,0,0,1,0,0,0
0:00:03.362,1284.4,798.6,0,0,1,0,0,0
0:00:03.429,1298.1,801.4,0,0,1,0,0,0
0:00:03.496,1300.9,801.4,0,0,1,0,0,0
0:00:03.562,1295.4,798.6,0,0,1,0,0,0
0:00:03.629,1292.6,793.2,0,0,1,0,0,0
0:00:03.696,1289.9,790.4,0,0,1,0,0,0
0:00:03.762,1289.9,787.7,0,0,1,0,0,0
0:00:03.829,1289.9,784.9,0,0,1,0,0,0
0:00:03.896,1295.4,779.4,0,0,1,0,0,0
0:00:03.961,1298.1,773.9,0,0,1,0,0,0
0:00:04.029,1306.4,768.5,0,0,1,0,0,0
0:00:04.096,1311.9,760.2,0,0,1,0,0,0
0:00:04.162,1320.1,752.0,0,0,1,0,0,0
0:00:04.229,1322.8,743.8,0,0,1,0,0,0
0:00:04.296,1331.1,730.0,0,0,1,0,0,0
0:00:04.362,1333.8,719.1,0,0,1,0,0,0
0:00:04.429,1331.1,694.4,0,0,1,0,0,0
0:00:04.496,1331.1,672.4,0,0,1,0,0,0
0:00:04.562,1325.6,661.4,0,0,1,0,0,0
0:00:04.628,1317.4,623.0,0,0,1,0,0,0
0:00:04.696,1309.1,606.5,0,0,1,0,0,0
0:00:04.762,1300.9,590.1,0,0,1,0,0,0
0:00:04.828,1292.6,576.3,0,1,0,0,0,0
0:00:04.862,1289.9,570.9,0,1,0,0,0,0
0:00:04.929,1278.9,557.1,0,1,0,0,0,0
0:00:04.995,1270.7,543.4,0,1,0,0,0,0
0:00:05.061,1259.7,529.7,0,1,0,0,0,0
0:00:05.129,1246.0,516.0,0,1,0,0,0,0
0:00:05.195,1235.0,505.0,0,1,0,0,0,0
0:00:05.262,1221.3,496.8,0,1,0,0,0,0
0:00:05.329,1204.8,491.3,0,1,0,0,0,0
0:00:05.395,1188.4,483.0,0,1,0,0,0,0
0:00:05.462,1177.4,480.3,0,1,0,0,0,0
