_ID,0055
Time,Centre position X,Centre position Y,In platform,In nw quad,In ne quad,In sw quad,In se quad,In perimeter
0:00:00.000,,,0,0,1,0,0,0
0:00:00.096,493,239,0,0,1,0,0,0
0:00:00.129,490,242,0,0,1,0,0,0
0:00:00.196,485,246,0,0,1,0,0,0
0:00:00.263,478,249,0,0,1,0,0,0
0:00:00.329,473,251,0,0,1,0,0,0
0:00:00.396,467,253,0,0,1,0,0,0
0:00:00.463,461,254,0,0,1,0,0,0
0:00:00.528,456,254,0,0,1,0,0,0
0:00:00.596,453,252,0,0,1,0,0,0
0:00:00.663,450,250,0,0,1,0,0,0
0:00:00.728,447,249,0,0,1,0,0,0
0:00:00.796,445,246,0,0,1,0,0,0
0:00:00.863,444,243,0,0,1,0,0,0
0:00:00.929,444,240,0,0,1,0,0,0
0:00:00.996,445,237,0,0,1,0,0,0
0:00:01.062,446,234,0,0,1,0,0,0
0:00:01.129,448,233,0,0,1,0,0,0
0:00:01.196,450,230,0,0,1,0,0,0
0:00:01.263,451,227,0,0,1,0,0,0
0:00:01.329,452,223,0,0,1,0,0,0
0:00:01.395,454,219,0,0,1,0,0,0
0:00:01.463,454,214,0,0,1,0,0,0
0:00:01.529,455,210,0,1,0,0,0,0
0:00:01.563,455,209,0,1,0,0,0,0
0:00:01.629,456,204,0,1,0,0,0,0
0:00:01.696,456,198,0,1,0,0,0,0
0:00:01.762,457,187,0,1,0,0,0,0
0:00:01.829,458,182,0,1,0,0,0,0
0:00:01.895,459,176,0,1,0,0,0,0
0:00:01.962,461,171,0,1,0,0,0,0
0:00:02.028,463,168,0,1,0,0,0,0
0:00:02.095,467,164,0,1,0,0,0,0
0:00:02.162,470,161,0,1,0,0,0,0
0:00:02.229,474,160,0,1,0,0,0,0
0:00:02.296,477,159,0,1,0,0,0,0
0:00:02.362,480,159,0,1,0,0,0,0
0:00:02.429,483,159,0,1,0,0,0,0
0:00:02.496,485,160,0,1,0,0,0,0
0:00:02.562,486,162,0,1,0,0,0,0
0:00:02.629,487,165,0,1,0,0,0,0
0:00:02.696,487,167,0,1,0,0,0,0
0:00:02.762,487,171,0,1,0,0,0,0
0:00:02.828,485,173,0,1,0,0,0,0
0:00:02.896,482,175,0,1,0,0,0,0
0:00:02.962,479,177,0,1,0,0,0,0
0:00:03.029,476,180,0,1,0,0,0,0
0:00:03.095,471,183,0,1,0,0,0,0
0:00:03.162,466,185,0,1,0,0,0,0
0:00:03.229,462,186,0,1,0,0,0,0
0:00:03.296,457,186,0,1,0,0,0,0
0:00:03.362,452,186,0,1,0,0,0,0
0:00:03.429,447,186,0,1,0,0,0,0
0:00:03.495,442,185,0,1,0,0,0,0
0:00:03.561,437,183,0,1,0,0,0,0
0:00:03.629,433,182,0,1,0,0,0,0
0:00:03.695,427,180,0,1,0,0,0,0
0:00:03.761,422,179,0,1,0,0,0,0
0:00:03.829,416,177,0,1,0,0,0,0
0:00:03.896,411,175,0,1,0,0,0,0
0:00:03.962,405,172,0,1,0,0,0,0
0:00:04.029,401,171,0,1,0,0,0,0
0:00:04.095,397,167,0,1,0,0,0,0
0:00:04.161,394,162,0,1,0,0,0,0
0:00:04.229,391,157,0,1,0,0,0,0
0:00:04.295,388,153,0,1,0,0,0,0
0:00:04.362,386,148,0,1,0,0,0,0
0:00:04.429,386,143,0,1,0,0,0,0
0:00:04.495,385,139,0,1,0,0,0,0
0:00:04.561,386,134,0,1,0,0,0,0
0:00:04.629,387,131,0,1,0,0,0,0
0:00:04.694,389,127,0,1,0,0,0,0
0:00:04.762,392,124,0,1,0,0,0,0
0:00:04.829,394,122,0,1,0,0,0,0
0:00:04.895,397,120,0,1,0,0,0,0
0:00:04.961,400,119,0,1,0,0,0,0
0:00:05.029,403,118,0,1,0,0,0,0
0:00:05.095,407,117,0,1,0,0,0,0
0:00:05.162,411,117,0,1,0,0,0,0
0:00:05.228,415,118,0,1,0,0,0,0
0:00:05.295,418,119,0,1,0,0,0,0
0:00:05.362,422,120,0,1,0,0,0,0
0:00:05.428,424,122,0,1,0,0,0,0
0:00:05.495,426,125,0,1,0,0,0,0
0:00:05.562,428,128,0,1,0,0,0,0
0:00:05.629,431,132,0,1,0,0,0,0
0:00:05.695,433,133,0,1,0,0,0,0
0:00:05.761,437,136,0,1,0,0,0,0
0:00:05.829,439,140,0,1,0,0,0,0
0:00:05.895,444,143,0,1,0,0,0,0
0:00:05.962,449,147,0,1,0,0,0,0
0:00:06.029,453,149,0,1,0,0,0,0
0:00:06.095,458,152,0,1,0,0,0,0
0:00:06.161,462,155,0,1,0,0,0,0
0:00:06.228,465,159,0,1,0,0,0,0
0:00:06.294,467,164,0,1,0,0,0,0
0:00:06.362,469,168,0,1,0,0,0,0
0:00:06.428,470,171,0,1,0,0,0,0
0:00:06.495,470,175,0,1,0,0,0,0
0:00:06.562,470,178,0,1,0,0,0,0
0:00:06.628,468,182,0,1,0,0,0,0
0:00:06.695,465,185,0,1,0,0,0,0
0:00:06.761,463,189,0,1,0,0,0,0
0:00:06.828,461,192,0,1,0,0,0,0
0:00:06.895,457,196,0,1,0,0,0,0
0:00:06.961,454,200,0,1,0,0,0,0
0:00:07.028,451,204,0,1,0,0,0,0
0:00:07.095,448,209,0,1,0,0,0,0
0:00:07.162,444,211,0,1,0,0,0,0
0:00:07.228,440,216,0,0,1,0,0,0
0:00:07.261,438,219,0,0,1,0,0,0
0:00:07.328,435,223,0,0,1,0,0,0
0:00:07.395,431,228,0,0,1,0,0,0
0:00:07.461,426,232,0,0,1,0,0,0
0:00:07.528,422,235,0,0,1,0,0,0
0:00:07.594,416,238,0,0,1,0,0,0
0:00:07.662,411,240,0,0,1,0,0,0
0:00:07.727,406,242,0,0,1,0,0,0
0:00:07.795,401,243,0,0,1,0,0,0
0:00:07.862,397,243,0,0,1,0,0,0
0:00:07.928,393,242,0,0,1,0,0,0
0:00:07.994,389,241,0,0,1,0,0,0
0:00:08.062,384,240,0,0,1,0,0,0
0:00:08.128,379,238,0,0,1,0,0,0
0:00:08.195,375,235,0,0,1,0,0,0
0:00:08.262,371,232,0,0,1,0,0,0
0:00:08.327,367,228,0,0,1,0,0,0
0:00:08.395,362,224,0,0,1,0,0,0
0:00:08.461,359,220,0,0,1,0,0,0
0:00:08.528,357,215,0,0,0,0,1,0
0:00:08.561,356,212,0,0,0,0,1,0
0:00:08.628,353,209,0,0,0,1,0,0
0:00:08.661,352,206,0,0,0,1,0,0
0:00:08.728,350,201,0,0,0,1,0,0
0:00:08.795,348,194,0,0,0,1,0,0
0:00:08.861,346,189,0,0,0,1,0,0
0:00:08.928,345,182,0,0,0,1,0,0
0:00:08.995,343,175,0,0,0,1,0,0
0:00:09.061,342,170,0,0,0,1,0,0
0:00:09.128,340,164,0,0,0,1,0,0
0:00:09.194,339,157,0,0,0,1,0,0
0:00:09.260,339,151,0,0,0,1,0,0
0:00:09.328,338,144,0,0,0,1,0,0
0:00:09.395,338,139,0,0,0,1,0,0
0:00:09.461,338,134,0,0,0,1,0,0
0:00:09.528,339,129,0,0,0,1,0,0
0:00:09.595,341,125,0,0,0,1,0,0
0:00:09.661,343,119,0,0,0,1,0,0
0:00:09.728,346,115,0,0,0,1,0,0
0:00:09.795,349,111,0,0,0,1,0,0
0:00:09.861,352,109,0,0,0,1,0,0
0:00:09.928,356,106,0,0,0,1,0,0
0:00:09.994,359,104,0,1,0,0,0,0
0:00:10.028,360,103,0,1,0,0,0,0
0:00:10.095,364,103,0,1,0,0,0,0
0:00:10.161,368,102,0,1,0,0,0,0
0:00:10.228,371,102,0,1,0,0,0,0
0:00:10.294,374,103,0,1,0,0,0,0
0:00:10.361,379,105,0,1,0,0,0,0
0:00:10.428,384,106,0,1,0,0,0,0
0:00:10.495,390,108,0,1,0,0,0,0
0:00:10.561,394,110,0,1,0,0,0,0
0:00:10.628,398,113,0,1,0,0,0,0
0:00:10.694,402,115,0,1,0,0,0,0
0:00:10.761,407,117,0,1,0,0,0,0
0:00:10.827,412,120,0,1,0,0,0,0
0:00:10.894,415,123,0,1,0,0,0,0
0:00:10.960,419,126,0,1,0,0,0,0
0:00:11.028,423,130,0,1,0,0,0,0
0:00:11.094,426,133,0,1,0,0,0,0
0:00:11.161,430,137,0,1,0,0,0,0
0:00:11.228,433,140,0,1,0,0,0,0
0:00:11.294,437,145,0,1,0,0,0,0
0:00:11.361,439,149,0,1,0,0,0,0
0:00:11.428,441,153,0,1,0,0,0,0
0:00:11.493,443,157,0,1,0,0,0,0
0:00:11.561,443,162,0,1,0,0,0,0
0:00:11.627,444,167,0,1,0,0,0,0
0:00:11.694,444,171,0,1,0,0,0,0
0:00:11.761,443,175,0,1,0,0,0,0
0:00:11.828,442,178,0,1,0,0,0,0
0:00:11.894,440,181,0,1,0,0,0,0
0:00:11.960,437,183,0,1,0,0,0,0
0:00:12.028,435,185,0,1,0,0,0,0
0:00:12.094,431,186,0,1,0,0,0,0
0:00:12.161,427,187,0,1,0,0,0,0
0:00:12.228,424,187,0,1,0,0,0,0
0:00:12.294,420,186,0,1,0,0,0,0
0:00:12.361,418,185,0,1,0,0,0,0
0:00:12.428,414,183,0,1,0,0,0,0
0:00:12.494,411,181,0,1,0,0,0,0
0:00:12.561,409,178,0,1,0,0,0,0
0:00:12.628,407,174,0,1,0,0,0,0
0:00:12.694,404,171,0,1,0,0,0,0
0:00:12.761,402,166,0,1,0,0,0,0
0:00:12.827,401,162,0,1,0,0,0,0
0:00:12.894,400,159,0,1,0,0,0,0
0:00:12.960,400,153,0,1,0,0,0,0
0:00:13.026,400,150,0,1,0,0,0,0
0:00:13.094,401,145,0,1,0,0,0,0
0:00:13.161,401,141,0,1,0,0,0,0
0:00:13.227,403,138,0,1,0,0,0,0
0:00:13.294,405,136,0,1,0,0,0,0
0:00:13.361,408,134,0,1,0,0,0,0
0:00:13.427,411,132,0,1,0,0,0,0
0:00:13.494,415,131,0,1,0,0,0,0
0:00:13.561,418,130,0,1,0,0,0,0
0:00:13.627,421,129,0,1,0,0,0,0
0:00:13.694,425,129,0,1,0,0,0,0
0:00:13.761,429,128,0,1,0,0,0,0
0:00:13.827,432,128,0,1,0,0,0,0
0:00:13.894,436,129,0,1,0,0,0,0
0:00:13.960,439,131,0,1,0,0,0,0
0:00:14.027,442,132,0,1,0,0,0,0
0:00:14.094,445,135,0,1,0,0,0,0
0:00:14.161,447,138,0,1,0,0,0,0
0:00:14.227,449,142,0,1,0,0,0,0
0:00:14.294,451,146,0,1,0,0,0,0
0:00:14.360,452,150,0,1,0,0,0,0
0:00:14.426,452,154,0,1,0,0,0,0
0:00:14.494,453,159,0,1,0,0,0,0
0:00:14.561,452,164,0,1,0,0,0,0
0:00:14.627,452,169,0,1,0,0,0,0
0:00:14.694,450,172,0,1,0,0,0,0
0:00:14.760,449,177,0,1,0,0,0,0
0:00:14.827,447,181,0,1,0,0,0,0
0:00:14.894,445,187,0,1,0,0,0,0
0:00:14.961,442,191,0,1,0,0,0,0
0:00:15.026,439,194,0,1,0,0,0,0
0:00:15.094,437,196,0,1,0,0,0,0
0:00:15.160,434,197,0,1,0,0,0,0
0:00:15.226,431,197,0,1,0,0,0,0
0:00:15.294,428,198,0,1,0,0,0,0
0:00:15.360,426,198,0,1,0,0,0,0
0:00:15.426,424,197,0,1,0,0,0,0
0:00:15.493,423,195,0,1,0,0,0,0
0:00:15.560,421,192,0,1,0,0,0,0
0:00:15.627,419,189,0,1,0,0,0,0
0:00:15.693,417,186,0,1,0,0,0,0
